term	sentiment	???
alarmists	-1.1	1.3
alarms	-1.1	1.04403
alas	-1.1	1.22066
alert	1.2	0.87178
alienation	-1.1	1.51327
alive	1.6	0.8
allergic	-1.2	0.4
allow	0.9	0.83066
alone	-1.0	0.63246
alright	1.0	0.7746
amaze	2.5	1.0247
amazed	2.2	1.07703
amazedly	2.1	0.53852
amazement	2.5	0.80623
amazements	2.2	0.87178
amazes	2.2	0.9798
amazing	2.8	0.87178
amazon	0.7	0.64031
amazonite	0.2	0.6
amazons	-0.1	0.3
amazonstone	1.0	1.61245
amazonstones	0.2	0.6
ambitious	2.1	0.53852
ambivalent	0.5	0.92195
amor	3.0	0.63246
amoral	-1.6	0.66332
amoralism	-0.7	1.34536
amoralisms	-0.7	1.00499
amoralities	-1.2	1.6
amorality	-1.5	0.92195
amorally	-1.0	1.61245
amoretti	0.2	0.4
amoretto	0.6	0.8
amorettos	0.3	0.64031
amorino	1.2	0.87178
amorist	1.6	1.0198
amoristic	1.0	1.67332
amorists	0.1	0.9434
amoroso	2.3	0.78102
amorous	1.8	0.9798
amorously	2.3	0.78102
amorousness	2.0	0.89443
amorphous	-0.2	0.4
amorphously	0.1	0.7
amorphousness	0.3	0.45826
amort	-2.1	0.83066
amortise	0.5	1.43178
amortised	-0.2	1.16619
amortises	0.1	0.83066
amortizable	0.5	1.0247
amortization	0.6	1.0198
amortizations	0.2	1.07703
amortize	-0.1	1.04403
amortized	0.8	0.74833
amortizes	0.6	0.8
amortizing	0.8	1.249
amusable	0.7	1.18743
amuse	1.7	0.78102
amused	1.8	0.6
amusedly	2.2	0.74833
amusement	1.5	1.11803
amusements	1.5	1.0247
amuser	1.1	1.7
amusers	1.3	0.45826
amuses	1.7	0.64031
amusia	0.3	1.48661
amusias	-0.4	0.66332
amusing	1.6	0.91652
amusingly	0.8	1.249
amusingness	1.8	0.6
amusive	1.7	1.1
anger	-2.7	1.18743
angered	-2.3	0.78102
angering	-2.2	0.6
angerly	-1.9	0.53852
angers	-2.3	0.9
angrier	-2.3	0.64031
angriest	-3.1	0.83066
angrily	-1.8	0.4
angriness	-1.7	0.64031
angry	-2.3	0.9
anguish	-2.9	0.83066
anguished	-1.8	1.4
anguishes	-2.1	1.44568
anguishing	-2.7	0.9
animosity	-1.9	1.75784
annoy	-1.9	0.53852
annoyance	-1.3	1.55242
annoyances	-1.8	0.6
annoyed	-1.6	1.11355
annoyer	-2.2	0.87178
annoyers	-1.5	1.0247
annoying	-1.7	0.64031
annoys	-1.8	0.6
antagonism	-1.9	1.04403
antagonisms	-1.2	1.53623
antagonist	-1.9	0.7
antagonistic	-1.7	0.9
antagonistically	-2.2	0.87178
antagonists	-1.7	0.64031
antagonize	-2.0	0.44721
antagonized	-1.4	0.66332
antagonizes	-0.5	1.9105
antagonizing	-2.7	0.64031
anti	-1.3	0.78102
anticipation	0.4	1.28062
anxieties	-0.6	1.85472
anxiety	-0.7	2.1
anxious	-1.0	0.44721
anxiously	-0.9	0.83066
anxiousness	-1.0	1.48324
aok	2.0	0.89443
apathetic	-1.2	0.87178
apathetically	-0.4	1.28062
apathies	-0.6	1.0198
apathy	-1.2	1.32665
apeshit	-0.9	2.21133
apocalyptic	-3.4	0.66332
apologise	1.6	0.66332
apologised	0.4	0.91652
apologises	0.8	1.07703
apologising	0.2	1.6
apologize	0.4	0.8
apologized	1.3	0.64031
apologizes	1.5	0.80623
apologizing	-0.3	1.34536
apology	0.2	1.249
appall	-2.4	0.66332
appalled	-2.0	0.63246
appalling	-1.5	1.5
appallingly	-2.0	1.67332
appalls	-1.9	1.37477
appease	1.1	0.9434
appeased	0.9	0.53852
appeases	0.9	0.53852
appeasing	1.0	1.09545
applaud	2.0	0.63246
applauded	1.5	0.5
applauding	2.1	0.83066
applauds	1.4	0.66332
applause	1.8	0.6
appreciate	1.7	0.78102
appreciated	2.3	0.78102
appreciates	2.3	0.9
appreciating	1.9	0.7
appreciation	2.3	0.9
appreciations	1.7	0.78102
appreciative	2.6	0.8
appreciatively	1.8	0.6
appreciativeness	1.6	0.8
appreciator	2.6	0.8
appreciators	1.5	0.80623
appreciatory	1.7	0.78102
apprehensible	1.1	1.04403
apprehensibly	-0.2	1.16619
apprehension	-2.1	0.83066
apprehensions	-0.9	1.04403
apprehensively	-0.3	1.18743
apprehensiveness	-0.7	0.9
approval	2.1	0.53852
approved	1.8	0.6
approves	1.7	0.64031
ardent	2.1	0.7
arguable	-1.0	0.63246
arguably	-1.0	1.09545
argue	-1.4	0.66332
argued	-1.5	0.5
arguer	-1.6	0.4899
arguers	-1.4	0.4899
argues	-1.6	0.4899
arguing	-2.0	0.63246
argument	-1.5	0.80623
argumentative	-1.5	0.67082
argumentatively	-1.8	0.9798
argumentive	-1.5	0.80623
arguments	-1.7	0.64031
arrest	-1.4	1.42829
arrested	-2.1	1.04403
arrests	-1.9	0.83066
arrogance	-2.4	0.66332
arrogances	-1.9	0.53852
arrogant	-2.2	0.6
arrogantly	-1.8	1.4
ashamed	-2.1	1.3
ashamedly	-1.7	0.64031
ass	-2.5	1.43178
assassination	-2.9	0.9434
assassinations	-2.7	1.34536
assault	-2.8	0.9798
assaulted	-2.4	1.28062
assaulting	-2.3	1.1
assaultive	-2.8	0.87178
assaults	-2.5	0.92195
asset	1.5	0.80623
assets	0.7	1.00499
assfucking	-2.5	1.43178
assholes	-2.8	0.74833
assurance	1.4	0.4899
assurances	1.4	0.4899
assure	1.4	0.4899
assured	1.5	0.67082
assuredly	1.6	0.66332
assuredness	1.4	0.8
assurer	0.9	1.13578
assurers	1.1	0.9434
assures	1.3	0.45826
assurgent	1.3	0.9
assuring	1.6	0.66332
assuror	0.5	0.67082
assurors	0.7	1.34536
astonished	1.6	0.8
astound	1.7	1.26886
astounded	1.8	0.9798
astounding	1.8	1.4
astoundingly	2.1	1.44568
astounds	2.1	1.22066
attachment	1.2	0.9798
attachments	1.1	0.7
attack	-2.1	0.83066
attacked	-2.0	1.78885
attacker	-2.7	0.9
attackers	-2.7	0.64031
attacking	-2.0	0.89443
attacks	-1.9	0.9434
attract	1.5	0.92195
attractancy	0.9	0.7
attractant	1.3	0.9
attractants	1.4	0.8
attracted	1.8	0.6
attracting	2.1	0.83066
attraction	2.0	0.7746
attractions	1.8	0.87178
attractive	1.9	0.53852
attractively	2.2	0.6
attractiveness	1.8	1.16619
attractivenesses	2.1	0.7
attractor	1.2	1.16619
attractors	1.2	0.87178
attracts	1.7	1.00499
audacious	0.9	2.02237
authority	0.3	0.64031
aversion	-1.9	1.04403
aversions	-1.1	1.13578
aversive	-1.6	0.66332
aversively	-0.8	1.53623
avert	-0.7	0.78102
averted	-0.3	1.00499
averts	-0.4	1.0198
avid	1.2	0.87178
avoid	-1.2	0.6
avoidance	-1.7	0.45826
avoidances	-1.1	0.53852
avoided	-1.4	0.4899
avoider	-1.8	0.6
avoiders	-1.4	0.66332
avoiding	-1.4	0.91652
avoids	-0.7	0.45826
await	0.4	0.4899
awaited	-0.1	0.83066
awaits	0.3	0.78102
award	2.5	0.92195
awardable	2.4	0.8
awarded	1.7	0.78102
awardee	1.8	0.6
awardees	1.2	0.74833
awarder	0.9	1.04403
awarders	1.3	1.18743
