term	sentiment	???
devotionally	2.2	0.4
devotionals	1.2	1.07703
devotions	1.8	0.74833
diamond	1.4	1.42829
dick	-2.3	1.18743
dickhead	-3.1	0.53852
die	-2.9	0.9434
died	-2.6	1.28062
difficult	-1.5	0.5
difficulties	-1.2	0.4
difficultly	-1.7	0.45826
difficulty	-1.4	0.66332
diffident	-1.0	0.44721
dignified	2.2	0.6
dignifies	2.0	0.7746
dignify	1.8	0.74833
dignifying	2.1	1.04403
dignitaries	0.6	0.91652
dignitary	1.9	1.3
dignities	1.4	0.66332
dignity	1.7	0.9
dilemma	-0.7	1.48661
dipshit	-2.1	0.7
dire	-2.0	1.26491
direful	-3.1	0.83066
dirt	-1.4	0.91652
dirtier	-1.4	0.4899
dirtiest	-2.4	1.0198
dirty	-1.9	0.83066
disabling	-2.1	0.53852
disadvantage	-1.8	0.4
disadvantaged	-1.7	0.64031
disadvantageous	-1.8	0.74833
disadvantageously	-2.1	0.83066
disadvantageousness	-1.6	0.66332
disadvantages	-1.7	0.64031
disagree	-1.6	0.4899
disagreeable	-1.7	0.64031
disagreeableness	-1.7	0.64031
disagreeablenesses	-1.9	0.9434
disagreeably	-1.5	0.67082
disagreed	-1.3	0.64031
disagreeing	-1.4	0.8
disagreement	-1.5	0.67082
disagreements	-1.8	0.6
disagrees	-1.3	0.45826
disappear	-0.9	0.7
disappeared	-0.9	0.7
disappears	-1.4	0.8
disappoint	-1.7	0.64031
disappointed	-2.1	0.83066
disappointedly	-1.7	0.78102
disappointing	-2.2	0.6
disappointingly	-1.9	0.7
disappointment	-2.3	1.00499
disappointments	-2.0	1.09545
disappoints	-1.6	0.4899
disaster	-3.1	0.83066
disasters	-2.6	0.8
disastrous	-2.9	0.53852
disbelieve	-1.2	0.87178
discard	-1.0	0.44721
discarded	-1.4	0.91652
discarding	-0.7	0.45826
discards	-1.0	0.63246
discomfort	-1.8	0.6
discomfortable	-1.6	0.8
discomforted	-1.6	0.8
discomforting	-1.6	1.11355
discomforts	-1.3	0.9
disconsolate	-2.3	0.78102
disconsolation	-1.7	0.45826
discontented	-1.8	0.9798
discord	-1.7	0.64031
discounted	0.2	1.249
discourage	-1.8	0.6
discourageable	-1.2	0.9798
discouraged	-1.7	0.45826
discouragement	-2.0	0.89443
discouragements	-1.8	0.6
discourager	-1.7	0.78102
discouragers	-1.9	0.53852
discourages	-1.9	0.53852
discouraging	-1.9	0.7
discouragingly	-1.8	0.87178
discredited	-1.9	0.53852
disdain	-2.1	0.3
disgrace	-2.2	0.74833
disgraced	-2.0	0.44721
disguise	-1.0	1.09545
disguised	-1.1	1.04403
disguises	-1.0	0.63246
disguising	-1.3	0.78102
disgust	-2.9	0.7
disgusted	-2.4	0.91652
disgustedly	-3.0	0.89443
disgustful	-2.6	0.4899
disgusting	-2.4	1.11355
disgustingly	-2.9	0.7
disgusts	-2.1	0.53852
dishearten	-2.0	0.63246
disheartened	-2.2	0.74833
disheartening	-1.8	1.32665
dishearteningly	-2.0	0.63246
disheartenment	-2.3	0.45826
disheartenments	-2.2	0.87178
disheartens	-2.2	0.4
dishonest	-2.7	0.9
disillusion	-1.0	1.18322
disillusioned	-1.9	0.7
disillusioning	-1.3	1.00499
disillusionment	-1.7	0.78102
disillusionments	-1.5	1.0247
disillusions	-1.6	0.4899
disinclined	-1.1	0.53852
disjointed	-1.3	0.45826
dislike	-1.6	0.4899
disliked	-1.7	0.64031
dislikes	-1.7	0.78102
disliking	-1.3	0.45826
dismal	-3.0	1.0
dismay	-1.8	0.87178
dismayed	-1.9	0.9434
dismaying	-2.2	0.9798
dismayingly	-1.9	0.83066
dismays	-1.8	1.07703
disorder	-1.7	0.64031
disorganized	-1.2	0.4
disoriented	-1.5	0.67082
disparage	-2.0	0.44721
disparaged	-1.4	0.8
disparages	-1.6	0.8
disparaging	-2.2	0.6
displeased	-1.9	0.7
dispute	-1.7	0.78102
disputed	-1.4	0.66332
disputes	-1.1	1.64012
disputing	-1.7	0.64031
disqualified	-1.8	0.6
disquiet	-1.3	0.9
disregard	-1.1	0.53852
disregarded	-1.6	0.4899
disregarding	-0.9	0.53852
disregards	-1.4	0.4899
disrespect	-1.8	0.6
disrespected	-2.0	0.63246
disruption	-1.5	0.67082
disruptions	-1.4	0.4899
disruptive	-1.3	1.00499
dissatisfaction	-2.2	0.74833
dissatisfactions	-1.9	0.83066
dissatisfactory	-2.0	0.63246
dissatisfied	-1.6	0.66332
dissatisfies	-1.8	0.74833
dissatisfy	-2.2	0.6
dissatisfying	-2.4	0.91652
distort	-1.3	0.45826
distorted	-1.7	0.78102
distorting	-1.1	0.53852
distorts	-1.4	0.4899
distract	-1.2	0.6
distractable	-1.3	1.00499
distracted	-1.4	0.66332
distractedly	-0.9	0.7
distractibility	-1.3	1.1
distractible	-1.5	0.92195
distracting	-1.2	0.4
distractingly	-1.4	1.0198
distraction	-1.6	0.66332
distractions	-1.0	0.0
distractive	-1.6	0.4899
distracts	-1.3	0.45826
distraught	-2.6	0.8
distress	-2.4	0.8
distressed	-1.8	0.6
distresses	-1.6	0.66332
distressful	-2.2	0.6
distressfully	-1.7	1.1
distressfulness	-2.4	0.66332
distressing	-1.7	1.18743
distressingly	-2.2	0.74833
distrust	-1.8	0.87178
distrusted	-2.4	0.66332
distrustful	-2.1	0.83066
distrustfully	-1.8	0.6
distrustfulness	-1.6	0.66332
distrusting	-2.1	0.83066
distrusts	-1.3	0.45826
disturb	-1.7	0.45826
disturbance	-1.6	0.8
disturbances	-1.4	0.66332
disturbed	-1.6	0.4899
disturber	-1.4	0.4899
disturbers	-2.1	0.53852
disturbing	-2.3	0.45826
disturbingly	-2.3	0.78102
disturbs	-1.9	0.53852
dithering	-0.5	0.92195
divination	1.7	1.1
divinations	1.1	1.04403
divinatory	1.6	1.42829
divine	2.6	0.8
divined	0.8	1.16619
divinely	2.9	0.7
diviner	0.3	0.9
diviners	1.2	1.16619
divines	0.8	1.249
divinest	2.7	0.78102
diving	0.3	0.45826
divining	0.9	1.37477
divinise	0.5	1.36015
divinities	1.8	1.46969
divinity	2.7	1.00499
divinize	2.3	1.00499
dizzy	-0.9	0.3
dodging	-0.4	0.8
dodgy	-0.9	0.9434
dolorous	-2.2	0.6
dominance	0.8	0.87178
dominances	-0.1	0.9434
dominantly	0.2	1.16619
dominants	0.2	1.16619
dominate	-0.5	0.92195
dominates	0.2	1.249
dominating	-1.2	1.98997
domination	-0.2	0.9798
dominations	-0.3	0.45826
dominative	-0.7	1.18743
dominators	-0.4	1.8
dominatrices	-0.2	1.6
dominatrix	-0.5	0.92195
dominatrixes	0.6	1.35647
doom	-1.7	1.26886
doomed	-3.2	0.74833
doomful	-2.1	0.7
dooming	-2.8	0.4
dooms	-1.1	1.57797
doomsayer	-0.7	1.41774
doomsayers	-1.7	0.78102
doomsaying	-1.5	1.28452
doomsayings	-1.5	0.92195
doomsday	-2.8	1.249
doomsdayer	-2.2	1.249
doomsdays	-2.4	1.85472
doomster	-2.2	0.87178
doomsters	-1.6	0.8
doomy	-1.1	1.37477
dork	-1.4	0.66332
dorkier	-1.1	0.53852
dorkiest	-1.2	0.74833
dorks	-0.5	0.67082
dorky	-1.1	1.04403
doubt	-1.5	0.5
doubtable	-1.5	0.5
doubted	-1.1	1.22066
doubter	-1.6	0.91652
doubters	-1.3	0.45826
doubtful	-1.4	0.4899
doubtfully	-1.2	0.4
doubtfulness	-1.2	0.4
doubting	-1.4	0.4899
doubtingly	-1.4	0.4899
doubtless	0.9	1.51327
doubtlessly	1.2	0.9798
doubtlessness	0.8	0.9798
doubts	-1.2	0.6
douche	-1.5	1.68819
douchebag	-3.0	0.44721
downcast	-1.8	0.74833
downhearted	-2.3	0.78102
downside	-1.0	0.7746
drag	-0.9	0.83066
dragged	-0.2	1.07703
drags	-0.7	0.64031
drained	-1.5	0.5
dread	-2.0	0.63246
dreaded	-2.7	0.64031
dreadful	-1.9	1.86815
dreadfully	-2.7	1.26886
dreadfulness	-3.2	0.87178
dreadfuls	-2.4	1.2
dreading	-2.4	0.8
dreadlock	-0.4	0.66332
dreadlocks	-0.2	0.9798
dreadnought	-0.6	1.35647
dreadnoughts	-0.4	0.66332
dreads	-1.4	1.42829
dream	1.0	1.18322
dreams	1.7	1.1
dreary	-1.4	0.4899
droopy	-0.8	0.74833
drop	-1.1	0.53852
drown	-2.7	1.00499
drowned	-2.9	0.7
drowns	-2.2	1.6
drunk	-1.4	0.91652
dubious	-1.5	0.5
dud	-1.0	0.89443
dull	-1.7	0.45826
dullard	-1.6	0.66332
dullards	-1.8	0.87178
dulled	-1.5	0.5
duller	-1.7	0.64031
dullest	-1.7	1.00499
dulling	-1.1	0.7
dullish	-1.1	0.53852
dullness	-1.4	0.8
dullnesses	-1.9	1.04403
dulls	-1.0	0.44721
dullsville	-2.4	0.8
dully	-1.1	0.3
dumb	-2.3	0.9
dumbass	-2.6	1.0198
dumbbell	-0.8	0.9798
dumbbells	-0.2	0.4
dumbcane	-0.3	0.45826
dumbcanes	-0.6	1.2
dumbed	-1.4	0.4899
dumber	-1.5	0.5
dumbest	-2.3	1.00499
dumbfound	-0.1	1.92094
dumbfounded	-1.6	1.11355
dumbfounder	-1.0	0.89443
dumbfounders	-1.0	0.89443
dumbfounding	-0.8	0.74833
dumbfounds	-0.3	1.26886
dumbhead	-2.6	0.66332
dumbheads	-1.9	0.83066
dumbing	-0.5	1.0247
dumbly	-1.3	1.00499
dumbness	-1.9	0.53852
dumbs	-1.5	0.67082
dumbstruck	-1.0	1.34164
dumbwaiter	0.2	1.07703
dumbwaiters	-0.1	0.3
dump	-1.6	0.91652
dumpcart	-0.6	0.8
dumped	-1.7	0.78102
dumper	-1.2	0.87178
dumpers	-0.8	0.6
dumpier	-1.4	0.66332
dumpiest	-1.6	1.35647
dumpiness	-1.2	0.6
dumping	-1.3	1.1
dumpings	-1.1	0.83066
dumpish	-1.8	0.6
dumpling	0.4	0.91652
dumplings	-0.3	1.26886
dumps	-1.7	0.9
dumpster	-0.6	0.91652
dumpsters	-1.0	0.89443
dumpy	-1.7	0.78102
dupe	-1.5	0.5
duped	-1.8	0.4
dwell	0.5	0.92195
dwelled	0.4	0.66332
dweller	0.3	0.64031
dwellers	-0.3	0.9
dwelling	0.1	0.53852
dwells	-0.1	0.53852
dynamic	1.6	0.8
dynamical	1.2	0.87178
dynamically	1.5	1.0247
dynamics	1.1	1.13578
dynamism	1.6	1.11355
dynamisms	1.2	0.9798
dynamist	1.4	1.0198
dynamistic	1.5	1.0247
dynamists	0.9	0.83066
dynamite	0.7	2.2383
dynamited	-0.9	1.04403
dynamiter	-1.2	0.87178
dynamiters	0.4	1.42829
dynamites	-0.3	1.73494
dynamitic	0.9	1.3
dynamiting	0.2	1.32665
dynamometer	0.3	0.64031
dynamometers	0.3	0.45826
dynamometric	0.3	0.9
dynamometry	0.6	1.28062
dynamos	0.3	0.64031
dynamotor	0.6	0.91652
dysfunction	-1.8	0.6
eager	1.5	0.67082
eagerly	1.6	0.66332
eagerness	1.7	0.45826
eagers	1.6	0.66332
earnest	2.3	0.64031
ease	1.5	0.92195
eased	1.2	0.74833
easeful	1.5	1.0247
easefully	1.4	0.4899
easel	0.3	0.45826
easement	1.6	0.91652
easements	0.4	1.11355
eases	1.3	0.78102
easier	1.8	0.9798
easiest	1.8	1.07703
easily	1.4	0.4899
easiness	1.6	0.66332
easing	1.0	0.63246
easy	1.9	1.04403
easygoing	1.3	0.45826
easygoingness	1.5	0.67082
ecstacy	3.3	1.18743
ecstasies	2.3	1.34536
ecstasy	2.9	1.75784
ecstatic	2.3	1.34536
ecstatically	2.8	1.93907
ecstatics	2.9	0.83066
eerie	-1.5	0.67082
eery	-0.9	1.04403
effective	2.1	0.83066
effectively	1.9	0.7
efficiencies	1.6	0.4899
efficiency	1.5	0.5
efficient	1.8	0.9798
efficiently	1.7	0.78102
effin	-2.3	1.18743
egotism	-1.4	0.91652
egotisms	-1.0	0.7746
egotist	-2.3	0.9
egotistic	-1.4	1.0198
egotistical	-0.9	1.57797
egotistically	-1.8	0.87178
egotists	-1.7	0.78102
elated	3.2	0.74833
elation	1.5	1.43178
elegance	2.1	0.53852
elegances	1.8	0.6
elegancies	1.6	1.0198
elegancy	2.1	0.53852
elegant	2.1	0.83066
elegantly	1.9	0.83066
embarrass	-1.2	1.66132
embarrassable	-1.6	0.8
embarrassed	-1.5	0.67082
embarrassedly	-1.1	1.44568
embarrasses	-1.7	0.78102
embarrassing	-1.6	0.8
embarrassingly	-1.7	0.64031
embarrassment	-1.9	0.53852
embarrassments	-1.7	0.64031
embittered	-0.4	1.35647
embrace	1.3	1.34536
emergency	-1.6	2.05913
emotional	0.6	1.0198
empathetic	1.7	1.1
emptied	-0.7	0.64031
emptier	-0.7	0.64031
emptiers	-0.7	0.78102
empties	-0.7	0.64031
emptiest	-1.8	1.07703
emptily	-1.0	1.41421
emptiness	-1.9	0.7
emptinesses	-1.5	1.11803
emptins	-0.3	0.45826
empty	-0.8	0.74833
emptying	-0.6	1.0198
enchanted	1.6	0.8
encourage	2.3	0.78102
encouraged	1.5	0.5
encouragement	1.8	0.9798
encouragements	2.1	0.7
encourager	1.5	0.5
encouragers	1.5	0.5
encourages	1.9	0.53852
encouraging	2.4	0.66332
encouragingly	2.0	0.7746
endorse	1.3	0.9
endorsed	1.0	0.89443
endorsement	1.3	0.9
endorses	1.4	0.4899
enemies	-2.2	0.6
enemy	-2.5	0.92195
energetic	1.9	0.53852
energetically	1.8	0.6
energetics	0.3	0.64031
energies	0.9	1.04403
energise	2.2	0.4
energised	2.1	0.53852
energises	2.2	0.6
energising	1.9	0.7
energization	1.6	0.66332
energizations	1.5	1.11803
energize	2.1	0.7
energized	2.3	0.64031
energizer	2.1	0.53852
energizers	1.7	0.9
energizes	2.1	0.53852
energizing	2.0	0.63246
energy	1.1	0.83066
engage	1.4	0.8
engaged	1.7	1.1
engagement	2.0	1.34164
engagements	0.6	0.8
engager	1.1	0.7
engagers	1.0	0.7746
engages	1.0	0.7746
engaging	1.4	0.4899
engagingly	1.5	0.67082
engrossed	0.6	1.49666
enjoy	2.2	0.6
enjoyable	1.9	0.53852
enjoyableness	1.9	1.13578
enjoyably	1.8	0.4
enjoyed	2.3	0.64031
enjoyer	2.2	0.6
enjoyers	2.2	0.74833
enjoying	2.4	0.66332
enjoyment	2.6	0.4899
enjoyments	2.0	0.7746
enjoys	2.3	0.45826
enlighten	2.3	1.1
enlightened	2.2	0.87178
enlightening	2.3	0.64031
enlightens	1.7	1.00499
ennui	-1.2	0.6
enrage	-2.6	0.91652
enraged	-1.7	1.79165
enrages	-1.8	1.6
enraging	-2.8	0.74833
enrapture	3.0	0.63246
enslave	-3.1	0.9434
enslaved	-1.7	2.41039
enslaves	-1.6	2.15407
ensure	1.6	0.91652
ensuring	1.1	0.9434
enterprising	2.3	0.78102
entertain	1.3	0.64031
entertained	1.7	0.64031
entertainer	1.6	1.2
entertainers	1.0	0.7746
entertaining	1.9	0.83066
entertainingly	1.9	0.53852
entertainment	1.8	0.9798
entertainments	2.3	1.18743
entertains	2.4	0.66332
enthral	0.4	1.42829
enthuse	1.6	0.66332
enthused	2.0	0.63246
enthuses	1.7	0.78102
enthusiasm	1.9	0.9434
enthusiasms	2.0	0.89443
enthusiast	1.5	0.67082
enthusiastic	2.2	0.9798
enthusiastically	2.6	0.66332
enthusiasts	1.4	0.91652
enthusing	1.9	0.7
entitled	1.1	0.83066
entrusted	0.8	1.46969
envied	-1.1	0.83066
envier	-1.0	0.7746
enviers	-1.1	1.13578
envies	-0.8	0.9798
envious	-1.1	0.83066
envy	-1.1	0.83066
envying	-0.8	1.32665
envyingly	-1.3	1.55242
erroneous	-1.8	0.6
error	-1.7	0.64031
errors	-1.4	0.66332
escape	0.7	1.00499
escapes	0.5	1.36015
escaping	0.2	1.46969
esteemed	1.9	0.83066
ethical	2.3	0.78102
euphoria	3.3	0.9
euphoric	3.2	0.87178
eviction	-2.0	0.63246
evil	-3.4	0.91652
evildoer	-3.1	0.7
evildoers	-2.4	0.4899
evildoing	-3.1	0.7
evildoings	-2.5	1.0247
eviler	-2.1	1.13578
evilest	-2.5	1.0247
eviller	-2.9	0.83066
evillest	-3.3	0.78102
evilly	-3.4	0.8
evilness	-3.1	1.04403
evils	-2.7	0.78102
exaggerate	-0.6	0.66332
exaggerated	-0.4	1.2
exaggerates	-0.6	1.28062
exaggerating	-0.7	0.9
exasperated	-1.8	1.53623
excel	2.0	1.0
excelled	2.2	0.87178
excellence	3.1	0.9434
excellences	2.5	0.92195
excellencies	2.4	0.4899
excellency	2.5	0.80623
excellent	2.7	0.64031
excellently	3.1	0.7
excelling	2.5	0.67082
excels	2.5	0.92195
excelsior	0.7	0.64031
excitabilities	1.5	1.0247
excitability	1.2	0.87178
excitable	1.5	0.92195
excitableness	1.0	1.09545
excitant	1.8	1.16619
excitants	1.2	0.9798
excitation	1.8	0.87178
excitations	1.8	1.16619
excitative	0.3	0.78102
excitatory	1.1	1.7
excite	2.1	1.22066
excited	1.4	0.4899
excitedly	2.3	0.9
excitement	2.2	0.4
excitements	1.9	0.53852
exciter	1.9	0.9434
exciters	1.4	1.42829
excites	2.1	0.83066
exciting	2.2	0.87178
excitingly	1.9	0.9434
exciton	0.3	0.64031
excitonic	0.2	0.6
excitons	0.8	0.6
excitor	0.5	0.67082
exclude	-0.9	1.13578
excluded	-1.4	1.62481
exclusion	-1.2	1.249
exclusive	0.5	0.92195
excruciate	-2.7	0.64031
excruciated	-1.3	1.9
excruciates	-1.0	2.19089
excruciating	-3.3	0.9
excruciatingly	-2.9	1.04403
excruciation	-3.4	0.66332
excruciations	-1.9	1.51327
excuse	0.3	1.73494
exempt	0.4	0.91652
exhaust	-1.2	0.87178
exhausted	-1.5	1.28452
exhauster	-1.3	0.64031
exhausters	-1.3	0.45826
exhaustibility	-0.8	1.07703
exhaustible	-1.0	0.63246
exhausting	-1.5	0.5
exhaustion	-1.5	0.92195
exhaustions	-1.1	0.9434
exhaustive	-0.5	0.67082
exhaustively	-0.7	0.78102
exhaustiveness	-1.1	1.3
exhaustless	0.2	1.8868
exhaustlessness	0.9	1.75784
exhausts	-1.1	0.53852
exhilarated	3.0	0.63246
exhilarates	2.8	1.07703
exhilarating	1.7	1.61555
exonerate	1.8	0.74833
exonerated	1.8	1.83303
exonerates	1.6	1.90788
exonerating	1.0	1.41421
expand	1.3	0.64031
expands	0.4	0.66332
expel	-1.9	1.44568
expelled	-1.0	1.94936
expelling	-1.6	1.49666
expels	-1.6	1.11355
exploit	-0.4	1.62481
exploited	-2.0	1.0
exploiting	-1.9	1.22066
exploits	-1.4	0.8
exploration	0.9	0.7
explorations	0.3	1.1
expose	-0.6	0.8
exposed	-0.3	1.18743
exposes	-0.5	0.92195
exposing	-1.1	0.7
extend	0.7	0.78102
extends	0.5	0.80623
exuberant	2.8	0.6
exultant	3.0	1.18322
exultantly	1.4	1.49666
fab	2.0	1.0
fabulous	2.4	0.8
fabulousness	2.8	1.07703
fad	0.9	0.83066
fag	-2.1	0.83066
faggot	-3.4	0.8
faggots	-3.2	0.9798
fail	-2.5	0.67082
failed	-2.3	0.9
failing	-2.3	1.1
failingly	-1.4	0.8
failings	-2.2	1.07703
faille	0.1	0.3
fails	-1.8	0.74833
failure	-2.3	1.00499
failures	-2.0	0.63246
fainthearted	-0.3	1.34536
fair	1.3	1.00499
faith	1.8	0.6
faithed	1.3	1.00499
faithful	1.9	0.83066
faithfully	1.8	1.07703
faithfulness	1.9	0.53852
faithless	-1.0	0.89443
faithlessly	-0.9	1.51327
faithlessness	-1.8	1.249
faiths	1.8	0.9798
fake	-2.1	0.9434
fakes	-1.8	1.07703
faking	-1.8	0.87178
fallen	-1.5	0.80623
falling	-0.6	1.8
falsified	-1.6	0.91652
falsify	-2.0	0.7746
fame	1.9	1.13578
fan	1.3	0.78102
fantastic	2.6	0.91652
fantastical	2.0	1.18322
fantasticalities	2.1	1.04403
fantasticality	1.7	1.26886
fantasticalness	1.3	1.9
fantasticate	1.5	1.96214
fantastico	0.4	1.49666
farce	-1.7	0.45826
fascinate	2.4	1.0198
fascinated	2.1	0.83066
fascinates	2.0	0.44721
fascination	2.2	0.74833
fascinating	2.5	0.92195
fascist	-2.6	0.8
fascists	-0.8	1.6
fatal	-2.5	1.62788
fatalism	-0.6	1.8
fatalisms	-1.7	0.9
fatalist	-0.5	1.56525
fatalistic	-1.0	1.34164
fatalists	-1.2	0.87178
fatalities	-2.9	0.7
fatality	-3.5	0.67082
fatally	-3.2	0.74833
fatigue	-1.0	0.7746
fatigued	-1.4	0.4899
fatigues	-1.3	1.00499
fatiguing	-1.2	0.6
fatiguingly	-1.5	0.80623
fault	-1.7	0.64031
faulted	-1.4	0.4899
faultfinder	-0.8	1.32665
faultfinders	-1.5	0.80623
faultfinding	-2.1	0.83066
faultier	-2.1	0.7
faultiest	-2.1	0.53852
faultily	-2.0	0.89443
faultiness	-1.5	0.92195
faulting	-1.4	0.4899
faultless	2.0	1.41421
faultlessly	2.0	1.09545
faultlessness	1.1	2.02237
faults	-2.1	0.3
faulty	-1.3	0.45826
fav	2.0	0.63246
fave	1.9	1.51327
favor	1.7	0.64031
favorable	2.1	0.7
favorableness	2.2	0.87178
favorably	1.6	0.66332
favored	1.8	0.6
favorer	1.3	1.18743
favorers	1.4	0.4899
favoring	1.8	0.6
favorite	2.0	0.63246
favorited	1.7	0.45826
favorites	1.8	0.6
favoritism	0.7	1.79165
favoritisms	0.7	0.9
favors	1.0	0.7746
favour	1.9	0.53852
favoured	1.8	0.4
favourer	1.6	0.4899
favourers	1.6	0.66332
favouring	1.3	0.45826
favours	1.8	0.6
fear	-2.2	0.6
feared	-2.2	0.6
fearful	-2.2	0.87178
fearfuller	-2.2	0.87178
fearfullest	-2.5	1.0247
fearfully	-2.2	0.87178
fearfulness	-1.8	0.87178
fearing	-2.7	0.9
fearless	1.9	0.83066
fearlessly	1.1	1.22066
fearlessness	1.1	1.13578
fears	-1.8	0.6
fearsome	-1.7	0.64031
fed up	-1.8	1.249
feeble	-1.2	1.249
feeling	0.5	1.0247
felonies	-2.5	0.5
felony	-2.5	1.36015
ferocious	-0.4	1.56205
ferociously	-1.1	1.86815
ferociousness	-1.0	1.89737
ferocities	-1.0	1.54919
ferocity	-0.7	1.67631
fervent	1.1	1.44568
fervid	0.5	2.20227
festival	2.2	0.6
festivalgoer	1.3	1.1
festivalgoers	1.2	0.9798
festivals	1.5	1.11803
festive	2.0	0.63246
festively	2.2	0.6
festiveness	2.4	0.8
festivities	2.1	0.7
festivity	2.2	1.07703
feud	-1.4	0.66332
feudal	-0.8	0.87178
feudalism	-0.9	1.37477
feudalisms	-0.2	0.74833
feudalist	-0.9	1.13578
feudalistic	-1.1	0.7
feudalities	-0.4	1.0198
feudality	-0.5	1.28452
feudalization	-0.3	1.18743
feudalize	-0.5	0.92195
feudalized	-0.8	1.07703
feudalizes	-0.1	0.53852
feudalizing	-0.7	1.34536
feudally	-0.6	0.66332
feudaries	-0.3	0.9
feudary	-0.8	0.74833
feudatories	-0.5	0.92195
feudatory	-0.1	0.83066
feuded	-2.2	0.6
feuding	-1.6	0.66332
feudist	-1.1	0.83066
feudists	-0.7	0.9
feuds	-1.4	1.0198
fiasco	-2.3	0.64031
fidgety	-1.4	0.66332
fiery	-1.4	0.91652
fiesta	2.1	0.7
fiestas	1.5	1.0247
fight	-1.6	1.56205
fighter	0.6	1.11355
fighters	-0.2	1.46969
fighting	-1.5	1.11803
fightings	-1.9	0.53852
fights	-1.7	0.64031
fine	0.8	0.6
fire	-1.4	1.49666
fired	-2.6	0.91652
firing	-1.4	0.8
fit	1.5	1.0247
fitness	1.1	0.9434
flagship	0.4	0.91652
flatter	0.4	1.42829
flattered	1.6	2.00998
flatterer	-0.3	1.9
flatterers	0.3	1.84662
flatteries	1.2	1.16619
flattering	1.3	2.19317
flatteringly	1.0	1.61245
flatters	0.6	2.10713
flattery	0.4	1.49666
flawless	2.3	2.14709
flawlessly	0.8	1.83303
flees	-0.7	1.18743
flexibilities	1.0	1.09545
flexibility	1.4	0.8
flexible	0.9	0.83066
flexibly	1.3	0.78102
flirtation	1.7	0.64031
flirtations	-0.1	1.64012
flirtatious	0.5	2.5
flirtatiously	-0.1	1.86815
flirtatiousness	0.6	1.85472
flirted	-0.2	1.98997
flirter	-0.4	1.85472
flirters	0.6	2.10713
flirtier	-0.1	1.37477
flirtiest	0.4	1.74356
flirting	0.8	1.83303
flirts	0.7	1.18743
flirty	0.6	1.35647
flop	-1.4	0.4899
flops	-1.4	0.8
flu	-1.6	0.8
flunk	-1.3	0.78102
flunked	-2.1	0.9434
flunker	-1.9	1.04403
flunkers	-1.6	0.8
flunkey	-1.8	0.9798
flunkeys	-0.6	1.2
flunkies	-1.4	1.11355
flunking	-1.5	0.92195
flunks	-1.8	1.32665
flunky	-1.8	1.4
flustered	-1.0	1.18322
focused	1.6	0.91652
foe	-1.9	1.22066
foehns	0.2	0.4
foeman	-1.8	0.6
foemen	-0.3	1.18743
foes	-2.0	0.89443
foetal	-0.1	0.3
foetid	-2.3	1.41774
foetor	-3.0	0.89443
foetors	-2.1	1.04403
foetus	0.2	0.6
foetuses	0.2	0.6
fond	1.9	0.83066
fondly	1.9	0.7
fondness	2.5	0.67082
fool	-1.9	0.53852
fooled	-1.6	0.4899
fooleries	-1.8	1.07703
foolery	-1.8	0.87178
foolfish	-0.8	0.87178
foolfishes	-0.4	0.4899
foolhardier	-1.5	0.67082
foolhardiest	-1.3	0.64031
foolhardily	-1.0	1.41421
foolhardiness	-1.6	0.66332
foolhardy	-1.4	0.4899
fooling	-1.7	0.64031
foolish	-1.1	0.83066
foolisher	-1.7	0.64031
foolishest	-1.4	1.28062
foolishly	-1.8	0.6
foolishness	-1.8	0.6
foolishnesses	-2.0	0.89443
foolproof	1.6	0.91652
fools	-2.2	0.74833
foolscaps	-0.8	0.6
forbid	-1.3	0.78102
forbiddance	-1.4	1.35647
forbiddances	-1.0	2.0
forbidden	-1.8	0.74833
forbidder	-1.6	0.66332
forbidders	-1.5	0.80623
forbidding	-1.9	0.7
forbiddingly	-1.9	0.53852
forbids	-1.3	0.45826
forced	-2.0	0.63246
foreclosure	-0.5	1.43178
foreclosures	-2.4	0.66332
forgave	1.4	0.91652
forget	-0.9	0.53852
forgetful	-1.1	1.3
forgivable	1.7	0.64031
forgivably	1.6	0.66332
forgive	1.1	1.22066
forgiven	1.6	0.66332
forgiveness	1.1	1.22066
forgiver	1.7	0.78102
forgivers	1.2	0.6
forgives	1.7	0.78102
forgiving	1.9	0.7
forgivingly	1.4	0.4899
forgivingness	1.8	0.6
forgotten	-0.9	0.53852
fortunate	1.9	0.53852
fought	-1.3	0.78102
foughten	-1.9	1.3
frantic	-1.9	0.7
frantically	-1.4	0.4899
franticness	-0.7	1.18743
fraud	-2.8	0.6
frauds	-2.3	0.45826
fraudster	-2.5	0.92195
fraudsters	-2.4	0.91652
fraudulence	-2.3	0.78102
fraudulent	-2.2	0.6
freak	-1.9	0.9434
freaked	-1.2	1.32665
freakier	-1.3	1.1
freakiest	-1.6	1.0198
freakiness	-1.4	0.8
freaking	-1.8	1.16619
freakish	-2.1	1.37477
freakishly	-0.8	1.249
freakishness	-1.4	1.68523
freakout	-1.8	1.6
freakouts	-1.5	0.92195
freaks	-0.4	1.35647
freaky	-1.5	1.20416
free	2.3	0.9
freebase	-0.1	1.44568
freebased	0.8	1.16619
freebases	0.8	1.249
freebasing	-0.4	1.56205
freebee	1.3	0.78102
freebees	1.3	1.26886
freebie	1.8	0.9798
freebies	1.8	0.9798
freeboard	0.3	0.64031
freeboards	0.7	0.9
freeboot	-0.7	1.67631
freebooter	-1.7	1.00499
